date,bid,ask,open,high,low,close
12/03/2012,50.7,51,49.3,51,49.2,51
12/04/2012,52,52.25,51,52.75,50.65,52.25
12/05/2012,51.45,51.5,51.25,52,51,51.5
12/06/2012,52.2,52.9,51.5,52.9,51.4,52.9
12/07/2012,51.65,51.8,52.9,52.9,51.3,51.8
12/10/2012,50,50.05,51.8,51.85,49.55,50
12/11/2012,50.6,50.95,50.05,51.35,50.05,50.95
12/12/2012,51.2,51.45,50.95,51.7,50.5,51.45
12/13/2012,51.5,51.65,51.5,51.8,51.5,51.65
12/14/2012,50.9,51,51.9,51.9,50.5,50.9
12/17/2012,51.65,51.7,51.05,52.5,51.05,51.7
12/18/2012,50.8,51.9,51.7,52.05,50.8,51.9
12/19/2012,52,52.1,51.9,52.5,51.85,52.1
12/20/2012,52.05,52.2,52.1,52.2,51.95,52.2
12/21/2012,51.5,52,52.3,54,51.5,51.5
12/26/2012,51.75,52,52,52.4,52,52
12/27/2012,52.45,52.5,53,53,52.2,52.5
12/28/2012,52.9,52.95,53,53.5,52.8,52.95
01/02/2013,52.85,52.9,52.9,53.1,52.85,52.9
01/03/2013,53,53.15,53,53.5,52.9,53.15
01/04/2013,53.45,53.5,53,54.2,53,53.5
01/07/2013,54,54.05,54.4,54.4,53.75,54
01/08/2013,54.1,54.15,54.05,54.2,54,54.1
01/09/2013,55.1,55.2,54.05,56,54,55.1
01/10/2013,54,55.2,55.5,55.5,54,55.2
01/11/2013,56.6,56.65,55.2,56.6,55.2,56.6
01/14/2013,56.6,56.8,56.6,56.8,56.45,56.8
01/15/2013,56.5,56.8,56.8,57,56.55,56.8
01/16/2013,55.65,55.8,56.85,56.85,55.4,55.8
01/17/2013,55.95,56,55.8,56.1,55.2,55.95
01/18/2013,56.6,57,55.95,57,55.95,57
01/21/2013,56.8,56.95,57,57,56.85,56.95
01/22/2013,55.8,56,57,57,55.5,55.8
01/23/2013,55.15,56.5,55.8,56.5,55.1,56.5
01/24/2013,55.6,55.65,56.5,56.5,55.5,55.65
01/25/2013,55.65,55.75,55.65,56,55.1,55.75
01/28/2013,55.5,56,55.8,56,55.1,56
01/29/2013,55.9,55.95,56,56.15,55.55,55.9
01/30/2013,54.1,55.75,56,56,54.1,54.1
01/31/2013,55.4,55.55,55,55.6,55,55.55
02/01/2013,55.75,55.85,55.55,56,55.5,55.75
02/04/2013,56.65,57,56,57.2,56,57
02/05/2013,57.15,57.5,57,57.5,56,57.5
02/06/2013,57,57.15,57.4,57.4,56.9,57
02/07/2013,56.95,57,56.85,57,56.85,57
02/08/2013,57,57.05,56.95,57.5,56.95,57
02/11/2013,57.3,57.35,57,57.4,57,57.35
02/12/2013,56.85,57,57.35,57.45,56.95,57
02/13/2013,57.25,57.3,57,58,57,57.3
02/14/2013,57.45,57.5,57.5,57.5,57.4,57.5
02/15/2013,57.7,57.8,57,57.9,57,57.8
02/18/2013,57.75,58,57.9,58,57.5,58
02/19/2013,58,58.3,57.95,58.2,57.9,58
02/20/2013,58.2,58.55,57.75,58.7,57.5,58.55
02/21/2013,59.5,59.9,58,60.3,57.8,59.9
02/22/2013,59.05,60,59.8,60,58,60
02/25/2013,59,60.3,60,60.3,58.5,60.3
02/26/2013,58.9,59,59.4,60,58.5,58.9
02/27/2013,58,58.95,58.9,59,58,58
02/28/2013,58.05,58.6,59,59,57.8,58.6
03/01/2013,57.55,59,58.4,59,57.4,59
03/04/2013,58.4,59,59,59,57.05,59
03/05/2013,58.7,58.8,58,59,58,58.7
03/06/2013,59.2,59.3,59,59.5,58.8,59.3
03/07/2013,59,59.5,59.3,59.5,59,59.5
03/08/2013,60,60.2,59.5,61,59.5,60
03/11/2013,59.3,60,60.45,61,59.3,59.3
03/12/2013,59,59.3,59.85,60,59,59
03/13/2013,50,50,59.1,59.7,58.7,59.05
03/14/2013,57.2,57.4,58.45,58.45,57,57.2
03/15/2013,57.2,57.3,57.3,58.1,57.25,57.3
03/18/2013,56.7,57,57.3,57.3,56.7,56.7
03/19/2013,56.5,56.6,56.7,57,56,56.5
03/20/2013,54.8,55,56.45,57,54.3,54.8
03/21/2013,55.7,55.75,55,56.2,55,55.75
03/22/2013,54.5,55.6,55.7,55.8,54.5,54.5
03/25/2013,54.5,54.75,55.5,55.5,54.35,54.75
03/26/2013,54.75,54.95,55,55.05,54.75,54.75
03/27/2013,55.1,55.15,54.75,55.2,54.75,55.15
04/01/2013,54.35,54.6,55.2,56.9,54.35,54.35
04/02/2013,53.7,53.75,55,55,53.6,53.75
04/03/2013,54.4,54.5,53.7,54.65,53.7,54.5
04/04/2013,54.7,54.75,55.2,55.5,54.6,54.7
04/05/2013,54.7,54.9,54.6,54.7,54.2,54.7
04/08/2013,54.45,54.75,55,55,54,54.45
04/10/2013,54.75,54.8,54.45,54.85,54,54.75
04/11/2013,54.85,54.9,54.85,54.95,54.8,54.85
04/12/2013,54.95,55,54.95,55,54.85,55
04/15/2013,54.65,54.75,55,55,54.45,54.75
04/16/2013,54.3,54.75,54,54.3,53.8,54.3
04/17/2013,54.35,54.95,54,54.95,54,54.35
04/18/2013,54.5,55,54.8,55,54,55
04/19/2013,54.7,54.8,55,55,54.2,54.7
04/22/2013,56.05,58.2,54.7,58.2,54.7,58.2
04/23/2013,55,56.25,56,56.9,55,55
04/24/2013,55.4,55.95,55.1,56.3,55.1,55.95
04/25/2013,56.8,57,55.5,57.1,55.2,57
04/26/2013,56.9,57,57,57.1,56.9,57
04/29/2013,56.85,56.9,57.15,57.15,56.7,56.9
04/30/2013,56.9,57,57,57,56.9,57
05/02/2013,56.95,57,57.4,57.4,56.9,56.95
05/03/2013,58.4,58.45,57.6,58.5,57.6,58.4
05/06/2013,56.65,58.35,58.4,58.6,56.65,56.65
05/07/2013,56.95,57,56.8,58,56.75,57
05/08/2013,56.9,57,57,57.3,56.9,57
05/09/2013,56.5,56.9,56.9,57,56.1,56.9
05/10/2013,56.2,57,55.8,57,55.8,57
05/14/2013,56.05,56.95,57,57,55,56.05
05/15/2013,56.8,56.85,56.2,56.95,56.2,56.85
